id,value,feed_id,created_at,lat,lon,ele;;;;;;;;;;;;;;;;
0FBSF11ABFBGYJZW1YCJDWW8MN;0;2554803;19/07/2023;20:19:09;UTC;0;0;0;;;;;;;;
0FBSF2CJ87RYCF99YQCB390KRZ;0;2554803;19/07/2023;20:21:30;UTC;0;0;0;;;;;;;;
0FBSF3Y17GYD2W73QM72GBEQ1T;0;2554803;19/07/2023;20:24:13;UTC;0;0;0;;;;;;;;
0FBSF59E6C3S22P6YAYZBY5FA2;0;2554803;19/07/2023;20:26:35;UTC;0;0;0;;;;;;;;
0FBSF6MR2TSHBAJ6TYMG95R2PK;0;2554803;19/07/2023;20:28:57;UTC;0;0;0;;;;;;;;
0FBSF80291DPT50TKHCQFH262B;0;2554803;19/07/2023;20:31:19;UTC;0;0;0;;;;;;;;
0FBSFAXAESXPG7AVFADD81M54M;0;2554803;19/07/2023;20:36:24;UTC;0;0;0;;;;;;;;
0FBSFC8MCR1BNNBQVJ19FS27DH;0;2554803;19/07/2023;20:38:46;UTC;0;0;0;;;;;;;;
0FBSFDKWGQ9WDJH07HSYY36PS3;0;2554803;19/07/2023;20:41:08;UTC;0;0;0;;;;;;;;
0FBSFEZPVEMC8TSBZXRTG7F672;0;2554803;19/07/2023;20:43:32;UTC;0;0;0;;;;;;;;
0FBSFG0Y6R0916N77A943H3MD3;0;2554803;19/07/2023;20:45:20;UTC;0;0;0;;;;;;;;
0FBSFHC6NM50R1P9S8RXVQMQC2;2;2554803;19/07/2023;20:47:42;UTC;0;0;0;;;;;;;;
0FBSFJRF3W8NED022WK7EHSNK3;4;2554803;19/07/2023;20:50:07;UTC;0;0;0;;;;;;;;
0FBSFM3MQK10KYJMFFHX006RZG;9;2554803;19/07/2023;20:52:29;UTC;0;0;0;;;;;;;;
0FBSFNF23TMQ83NSWM38TDMSX2;10;2554803;19/07/2023;20:54:51;UTC;0;0;0;;;;;;;;
