id,value,feed_id,created_at,lat,lon,ele;;;;;;;;;;;;;;;;
0FBSF11A4TM1F030107VD0QCZC;510;2555205;19/07/2023;20:19:09;UTC;0;0;0;;;;;;;;
0FBSF2CJHX1MJE904M1GG6ZX93;452;2555205;19/07/2023;20:21:31;UTC;0;0;0;;;;;;;;
0FBSF3Y0TW813YKAD092RZDFTJ;69;2555205;19/07/2023;20:24:13;UTC;0;0;0;;;;;;;;
0FBSF59E45DEM1DZEHSEKZ17A6;446;2555205;19/07/2023;20:26:35;UTC;0;0;0;;;;;;;;
0FBSF6MR26JFVQ8FFM8HFPNKM1;470;2555205;19/07/2023;20:28:57;UTC;0;0;0;;;;;;;;
0FBSF80205JX9JSTQYYJVGRGFQ;467;2555205;19/07/2023;20:31:19;UTC;0;0;0;;;;;;;;
0FBSFAXAAZ16NCD46D6VB30ARW;0;2555205;19/07/2023;20:36:24;UTC;0;0;0;;;;;;;;
0FBSFC8MA9MP6R4RPKDVHC6KMP;472;2555205;19/07/2023;20:38:46;UTC;0;0;0;;;;;;;;
0FBSFDKWFW1N87QXV6YBN18C18;456;2555205;19/07/2023;20:41:08;UTC;0;0;0;;;;;;;;
0FBSFEZPSJ3DXZ281JD4BSW7RQ;704;2555205;19/07/2023;20:43:31;UTC;0;0;0;;;;;;;;
0FBSFG0Y2Q76C64BMKDF187DRB;0;2555205;19/07/2023;20:45:20;UTC;0;0;0;;;;;;;;
0FBSFHC6B4JGJG187KPM02HYTR;588;2555205;19/07/2023;20:47:42;UTC;0;0;0;;;;;;;;
0FBSFJRDP9B146254DGFGARMCC;442;2555205;19/07/2023;20:50:07;UTC;0;0;0;;;;;;;;
0FBSFM3MR7CP80AG8EVHGBGPWJ;425;2555205;19/07/2023;20:52:29;UTC;0;0;0;;;;;;;;
0FBSFNF22BNCFMTJ9VEW9PQ5JT;437;2555205;19/07/2023;20:54:51;UTC;0;0;0;;;;;;;;
0FBSFPTM7HPREN0KW0EC2F87HP;401;2555205;19/07/2023;20:57:14;UTC;0;0;0;;;;;;;;
0FBSFRD8B7KQKA6N58ZKV31JQ7;0;2555205;19/07/2023;21:00:00;UTC;0;0;0;;;;;;;;
0FBSFSRQ48454BY4ZTVCKMCEDR;316;2555205;19/07/2023;21:02:22;UTC;0;0;0;;;;;;;;
0FBSFV5R1HVZVPQAK63YF7A1NC;308;2555205;19/07/2023;21:04:50;UTC;0;0;0;;;;;;;;
0FBSFWGQXEZGNCF967FWY52S4P;317;2555205;19/07/2023;21:07:10;UTC;0;0;0;;;;;;;;
0FBSG22JDVPP8W2HR61T2XK09E;266;2555205;19/07/2023;21:16:53;UTC;0;0;0;;;;;;;;
0FBSG3DW3J6EDQE7HSZER4KWNW;302;2555205;19/07/2023;21:19:15;UTC;0;0;0;;;;;;;;
0FBSG4S8MRG1RR785XKJPA42NJ;297;2555205;19/07/2023;21:21:37;UTC;0;0;0;;;;;;;;
0FBSG64N2KR2Y1T01AAD92YCDX;297;2555205;19/07/2023;21:23:59;UTC;0;0;0;;;;;;;;
0FBSG7FWCYS5NGB0Y288DYEFTN;293;2555205;19/07/2023;21:26:21;UTC;0;0;0;;;;;;;;
0FBSG8V6H6MVYK1X78C58M0A0E;296;2555205;19/07/2023;21:28:43;UTC;0;0;0;;;;;;;;
0FBSGA72KPPQB0TFDH4NMEN264;280;2555205;19/07/2023;21:31:07;UTC;0;0;0;;;;;;;;
0FBSGBJEB3G8GNK0TH5R5VD60A;283;2555205;19/07/2023;21:33:29;UTC;0;0;0;;;;;;;;
0FBSGCXNZCNB1T552DRHV2B4KM;283;2555205;19/07/2023;21:35:51;UTC;0;0;0;;;;;;;;
0FBSGE8SGD89THT5116TCKVRSZ;283;2555205;19/07/2023;21:38:12;UTC;0;0;0;;;;;;;;
0FBSGFM2CD8SCEN23J47JKFRGT;289;2555205;19/07/2023;21:40:34;UTC;0;0;0;;;;;;;;
0FBSGGZE6BEMDM38X3KR3H32F6;299;2555205;19/07/2023;21:42:56;UTC;0;0;0;;;;;;;;
0FBSGJARGF7M3W4NYM166JMCFE;275;2555205;19/07/2023;21:45:18;UTC;0;0;0;;;;;;;;
0FBSGKNT565QZRWT32JVYZK2A5;297;2555205;19/07/2023;21:47:39;UTC;0;0;0;;;;;;;;
