id,value,feed_id,created_at,lat,lon,ele;;;;;;;;;;;;;;;;;
0FBSF11AMVYPBPSX3SNJSX6SHT;0;2554801;19/07/2023;20:19:09;UTC;0;0;0;;;;;;;;;
0FBSF2CJ72525QRAVC82T8T5EK;0;2554801;19/07/2023;20:21:30;UTC;0;0;0;;;;;;;;;
0FBSF3Y164JGRWQQKRF38HG71N;0;2554801;19/07/2023;20:24:13;UTC;0;0;0;;;;;;;;;
0FBSF59E8DG3B9S959PRS5DS56;0;2554801;19/07/2023;20:26:35;UTC;0;0;0;;;;;;;;;
0FBSF6MR2CJVYBS74JGVZN7VGE;0;2554801;19/07/2023;20:28:57;UTC;0;0;0;;;;;;;;;
0FBSF8029RSF233YYY7R8HG887;0;2554801;19/07/2023;20:31:19;UTC;0;0;0;;;;;;;;;
0FBSFAXAGSKJNCTPWN0S5HA4KX;0;2554801;19/07/2023;20:36:24;UTC;0;0;0;;;;;;;;;
0FBSFC8MFJTS2Q13MFDBMEVP72;0;2554801;19/07/2023;20:38:46;UTC;0;0;0;;;;;;;;;
0FBSFDKWFNJ3XH8Z2GB5JR8N4X;0;2554801;19/07/2023;20:41:08;UTC;0;0;0;;;;;;;;;
0FBSFEZPXSPV7K6594HVCQ3Q54;0;2554801;19/07/2023;20:43:32;UTC;0;0;0;;;;;;;;;
0FBSFG0Y9RKKQ42G04Z5M2DW00;0;2554801;19/07/2023;20:45:20;UTC;0;0;0;;;;;;;;;
0FBSFHC6SSPKJD3865AWDKTXDM;2;2554801;19/07/2023;20:47:42;UTC;0;0;0;;;;;;;;;
0FBSFJRFQPWG35KYKFV10H5H2W;4;2554801;19/07/2023;20:50:07;UTC;0;0;0;;;;;;;;;
0FBSFM3MV8E75HZ7TFNC2BN0T8;8;2554801;19/07/2023;20:52:29;UTC;0;0;0;;;;;;;;;
0FBSFNF28WN61V13ZGMDNXFQXR;9;2554801;19/07/2023;20:54:51;UTC;0;0;0;;;;;;;;;
0FBSFPTMEKR7S0CY4M4KRK0TZ2;11;2554801;19/07/2023;20:57:14;UTC;0;0;0;;;;;;;;;
0FBSFRD8CNVPXZMRQY5CGTFX0J;0;2554801;19/07/2023;21:00:00;UTC;0;0;0;;;;;;;;;
0FBSFSRQPTXXJQ3ZMGK69NJCWW;0;2554801;19/07/2023;21:02:22;UTC;0;0;0;;;;;;;;;
0FBSFV5TADGRS2W8HAQMEEGH2D;2;2554801;19/07/2023;21:04:50;UTC;0;0;0;;;;;;;;;
0FBSFWGR4H3A3X0E4G4K7SMNQR;7;2554801;19/07/2023;21:07:10;UTC;0;0;0;;;;;;;;;
0FBSG22JMS2CWDMWE0FJZ29503;7;2554801;19/07/2023;21:16:53;UTC;0;0;0;;;;;;;;;
0FBSG3DW6AQKQXA5B34DPRD7TY;7;2554801;19/07/2023;21:19:15;UTC;0;0;0;;;;;;;;;
0FBSG4S8P2588EDDTX53NWBV6Q;7;2554801;19/07/2023;21:21:37;UTC;0;0;0;;;;;;;;;
0FBSG64N12T808WG9RMN3XDR9S;7;2554801;19/07/2023;21:23:59;UTC;0;0;0;;;;;;;;;
0FBSG7FWDMVZB2VK55FSJV66A3;7;2554801;19/07/2023;21:26:21;UTC;0;0;0;;;;;;;;;
