id,value,feed_id,created_at,lat,lon,ele
0FB97C151XCHT1HZSJHZC4V68K,0,2555205,2023-06-29 15:57:51 UTC,0.0,0.0,0.0
0FB97D5ZXYFV10JE3PF4TRQ6S3,0,2555205,2023-06-29 15:59:52 UTC,0.0,0.0,0.0
0FB97MXW2NP62967N5A2FXSQCW,0,2555205,2023-06-29 16:13:24 UTC,0.0,0.0,0.0
0FB97NHGZQH0WFH4EGFXMV8TP6,0,2555205,2023-06-29 16:14:29 UTC,0.0,0.0,0.0
0FB97P563NCVNAZC997085B01V,0,2555205,2023-06-29 16:15:33 UTC,0.0,0.0,0.0
0FB97W92RNCE54MEB8G746FESZ,0,2555205,2023-06-29 16:26:15 UTC,0.0,0.0,0.0
0FBD7G24RHFFMMNBBJ0K9DGG3C,1,2555205,2023-07-04 15:23:11 UTC,0.0,0.0,0.0
0FBD7GTKSCVR70CH1EBMBT4G5X,2,2555205,2023-07-04 15:24:31 UTC,0.0,0.0,0.0
0FBD7HEH29YJ5M6CZATX53JW4M,1,2555205,2023-07-04 15:25:36 UTC,0.0,0.0,0.0
0FBD7J6YR0W5TKYY9YDMJ8HNV9,2,2555205,2023-07-04 15:26:56 UTC,0.0,0.0,0.0
0FBD7JZDWMNRY8K8Y86HSZZD91,3,2555205,2023-07-04 15:28:16 UTC,0.0,0.0,0.0
0FBD7KR0YN5N2MBAP56TE16FHC,4,2555205,2023-07-04 15:29:37 UTC,0.0,0.0,0.0
0FBD7MGK5G0FBXR8Y9G7JEW4FH,5,2555205,2023-07-04 15:30:57 UTC,0.0,0.0,0.0
0FBD7N924FZCF4TATQQWYK1TVA,6,2555205,2023-07-04 15:32:18 UTC,0.0,0.0,0.0
0FBD7P1HY1STBQ3Y1TN5PCTBPQ,7,2555205,2023-07-04 15:33:38 UTC,0.0,0.0,0.0
0FBD7PP4YMMGFX9YCD277GYQ60,1,2555205,2023-07-04 15:34:45 UTC,0.0,0.0,0.0
0FBD7QH3SR3JVVTF2QCYVEQKT0,1,2555205,2023-07-04 15:36:14 UTC,0.0,0.0,0.0
0FBD7QJ7VZGC055BMK8A34WKPR,2,2555205,2023-07-04 15:36:17 UTC,0.0,0.0,0.0
0FBD7QKF1FW1X7DXVTGK3E6QM8,3,2555205,2023-07-04 15:36:21 UTC,0.0,0.0,0.0
0FBD7QMM1YR4J1PHCNGCV8ER4J,4,2555205,2023-07-04 15:36:25 UTC,0.0,0.0,0.0
0FBD7QNT3A8RAC7FTCB284ZF22,5,2555205,2023-07-04 15:36:29 UTC,0.0,0.0,0.0
0FBD7QQ1D714EV87ARZ6591JSY,6,2555205,2023-07-04 15:36:33 UTC,0.0,0.0,0.0
0FBD7QR6T19CJDQX6XK4VJ1QPB,7,2555205,2023-07-04 15:36:37 UTC,0.0,0.0,0.0
0FBD7SQHDJCZG8CQFEBR8ACH28,45,2555205,2023-07-04 15:40:04 UTC,0.0,0.0,0.0
0FBD7TXHPE8N94YSRGNGE486K6,1,2555205,2023-07-04 15:42:09 UTC,0.0,0.0,0.0
0FBD7V3DYAX8H13KNYQKYCDVMV,2,2555205,2023-07-04 15:42:28 UTC,0.0,0.0,0.0
0FBD7V98S3MDDXVC2HEDG58PS8,3,2555205,2023-07-04 15:42:47 UTC,0.0,0.0,0.0
0FBD7VF35H6J9A7ZGG0VEPYHHJ,4,2555205,2023-07-04 15:43:06 UTC,0.0,0.0,0.0
0FBD7VMX5W3SRRKCN02YRC32Y7,5,2555205,2023-07-04 15:43:26 UTC,0.0,0.0,0.0
0FBD7VTS8GRMYFYRT2X1HGDZQE,6,2555205,2023-07-04 15:43:45 UTC,0.0,0.0,0.0
0FBD7W0K4DNFQK7ERQV89HGHYW,7,2555205,2023-07-04 15:44:04 UTC,0.0,0.0,0.0
0FBD7W6CV50R64FBSXBKGQ6BZA,8,2555205,2023-07-04 15:44:23 UTC,0.0,0.0,0.0
0FBD7WC938W1Y8A2Z7MHAQRZR3,9,2555205,2023-07-04 15:44:42 UTC,0.0,0.0,0.0
0FBD7WJ3Z1V0EACYKPY39HTFAW,10,2555205,2023-07-04 15:45:01 UTC,0.0,0.0,0.0
0FBD7WR85P9BQTFHE9JJC3G98D,11,2555205,2023-07-04 15:45:21 UTC,0.0,0.0,0.0
0FBD7WY3537YC0C5GCS9SD7SK5,12,2555205,2023-07-04 15:45:40 UTC,0.0,0.0,0.0
0FBD7X3W7QQTF82FZWDQGESTPZ,13,2555205,2023-07-04 15:45:59 UTC,0.0,0.0,0.0
0FBD7X9NWNKY5BYWWM9DE5MHTT,14,2555205,2023-07-04 15:46:18 UTC,0.0,0.0,0.0
0FBD7XFFY37MHQS62WYRPYSKV3,15,2555205,2023-07-04 15:46:37 UTC,0.0,0.0,0.0
0FBD7XN9TYCJAVB27YKYEEAQ26,16,2555205,2023-07-04 15:46:57 UTC,0.0,0.0,0.0
0FBD7XV478F28CQ3DPZNEWTF9T,17,2555205,2023-07-04 15:47:16 UTC,0.0,0.0,0.0
0FBD7Y0XVEWZZXVRB794FQEGYD,18,2555205,2023-07-04 15:47:35 UTC,0.0,0.0,0.0
0FBD7Y6QX2VYWJZBNR6ZDA8MN3,19,2555205,2023-07-04 15:47:54 UTC,0.0,0.0,0.0
0FBD7YCKW2MZP0399JEE8JVMY4,20,2555205,2023-07-04 15:48:13 UTC,0.0,0.0,0.0
0FBD7YJT2P2XDSQZ1HN394C3H7,21,2555205,2023-07-04 15:48:33 UTC,0.0,0.0,0.0
0FBD7YRM306M8NN53EK8YBYWQ2,22,2555205,2023-07-04 15:48:52 UTC,0.0,0.0,0.0
0FBD7YYF5M6RED6Q9WE4BCHA8T,23,2555205,2023-07-04 15:49:11 UTC,0.0,0.0,0.0
0FBD7Z48XHTARC575AB850DEZ3,24,2555205,2023-07-04 15:49:30 UTC,0.0,0.0,0.0
0FBD7ZA2YN5X3HXR6E0TV7Z3MV,25,2555205,2023-07-04 15:49:49 UTC,0.0,0.0,0.0
0FBD7ZFY6ZXT8WWCH5DKD7D3G5,26,2555205,2023-07-04 15:50:09 UTC,0.0,0.0,0.0
0FBD7ZNS1R3930NYC17DMVA587,27,2555205,2023-07-04 15:50:28 UTC,0.0,0.0,0.0
0FBD7ZVNWT5CT87BJCMDM29FX9,28,2555205,2023-07-04 15:50:47 UTC,0.0,0.0,0.0
0FBD801J65F9QSBE1BKXF1A823,29,2555205,2023-07-04 15:51:06 UTC,0.0,0.0,0.0
0FBD807CTZNCW3MCT34WJ3V5CY,30,2555205,2023-07-04 15:51:26 UTC,0.0,0.0,0.0
0FBD80DJX51TGTG80P3W51374K,31,2555205,2023-07-04 15:51:46 UTC,0.0,0.0,0.0
0FBD80KMW5WBCJDTRGX7PN7GB1,32,2555205,2023-07-04 15:52:06 UTC,0.0,0.0,0.0
0FBD80SEZC78YK4VM2B5J1P70B,33,2555205,2023-07-04 15:52:25 UTC,0.0,0.0,0.0
